"populationSize"	"iterationsQuantity"	"problemSize"
"1000"	"100"	"14"
"populationNumber"	"strong"	"avg"	"weak"
"1"	"104"	"223"	"347"
"2"	"120"	"225"	"351"
"3"	"107"	"223"	"346"
"4"	"119"	"225"	"359"
"5"	"104"	"226"	"347"
"6"	"110"	"224"	"354"
"7"	"122"	"224"	"369"
"8"	"104"	"227"	"360"
"9"	"123"	"224"	"370"
"10"	"108"	"224"	"365"
"11"	"111"	"226"	"371"
"12"	"122"	"225"	"356"
"13"	"99"	"225"	"369"
"14"	"117"	"225"	"350"
"15"	"119"	"222"	"367"
"16"	"114"	"225"	"361"
"17"	"120"	"227"	"352"
"18"	"96"	"225"	"344"
"19"	"126"	"225"	"365"
"20"	"103"	"223"	"347"
"21"	"127"	"224"	"371"
"22"	"117"	"225"	"371"
"23"	"114"	"226"	"362"
"24"	"122"	"223"	"369"
"25"	"121"	"225"	"351"
"26"	"116"	"225"	"342"
"27"	"96"	"226"	"368"
"28"	"109"	"227"	"394"
"29"	"115"	"225"	"367"
"30"	"101"	"223"	"356"
"31"	"114"	"226"	"350"
"32"	"115"	"224"	"359"
"33"	"104"	"224"	"378"
"34"	"130"	"225"	"368"
"35"	"113"	"227"	"359"
"36"	"94"	"225"	"349"
"37"	"93"	"226"	"337"
"38"	"122"	"224"	"377"
"39"	"119"	"225"	"371"
"40"	"105"	"225"	"331"
"41"	"109"	"225"	"343"
"42"	"116"	"225"	"356"
"43"	"117"	"224"	"396"
"44"	"111"	"225"	"375"
"45"	"108"	"222"	"377"
"46"	"122"	"227"	"333"
"47"	"114"	"224"	"359"
"48"	"113"	"226"	"355"
"49"	"116"	"225"	"349"
"50"	"105"	"227"	"358"
"51"	"109"	"225"	"354"
"52"	"118"	"224"	"375"
"53"	"110"	"226"	"359"
"54"	"127"	"224"	"363"
"55"	"116"	"225"	"363"
"56"	"119"	"224"	"376"
"57"	"127"	"227"	"373"
"58"	"101"	"224"	"363"
"59"	"97"	"223"	"361"
"60"	"103"	"223"	"346"
"61"	"119"	"224"	"375"
"62"	"100"	"226"	"361"
"63"	"120"	"227"	"346"
"64"	"127"	"225"	"355"
"65"	"125"	"225"	"365"
"66"	"115"	"220"	"354"
"67"	"121"	"227"	"349"
"68"	"120"	"223"	"356"
"69"	"110"	"226"	"341"
"70"	"120"	"226"	"341"
"71"	"106"	"225"	"337"
"72"	"118"	"224"	"389"
"73"	"122"	"226"	"358"
"74"	"109"	"226"	"356"
"75"	"124"	"225"	"346"
"76"	"103"	"225"	"356"
"77"	"96"	"226"	"355"
"78"	"99"	"224"	"369"
"79"	"123"	"226"	"353"
"80"	"104"	"225"	"375"
"81"	"119"	"224"	"339"
"82"	"106"	"227"	"363"
"83"	"111"	"223"	"364"
"84"	"107"	"224"	"348"
"85"	"102"	"225"	"339"
"86"	"115"	"225"	"339"
"87"	"111"	"224"	"369"
"88"	"117"	"225"	"340"
"89"	"118"	"221"	"348"
"90"	"109"	"226"	"350"
"91"	"113"	"223"	"377"
"92"	"98"	"224"	"346"
"93"	"111"	"224"	"336"
"94"	"93"	"225"	"331"
"95"	"120"	"223"	"371"
"96"	"104"	"225"	"376"
"97"	"107"	"224"	"365"
"98"	"104"	"226"	"365"
"99"	"114"	"225"	"345"
"100"	"105"	"222"	"357"
