"populationSize"	"iterationsQuantity"	"problemSize"
"100"	"100"	"16"
"populationNumber"	"strong"	"avg"	"weak"
"0"	"161"	"261"	"378"
"1"	"167"	"261"	"376"
"2"	"159"	"264"	"381"
"3"	"162"	"263"	"384"
"4"	"159"	"260"	"368"
"5"	"158"	"261"	"381"
"6"	"160"	"263"	"397"
"7"	"155"	"261"	"377"
"8"	"160"	"263"	"392"
"9"	"152"	"261"	"388"
"10"	"162"	"260"	"383"
"11"	"156"	"263"	"387"
"12"	"158"	"263"	"379"
"13"	"158"	"261"	"381"
"14"	"160"	"261"	"387"
"15"	"159"	"261"	"384"
"16"	"150"	"263"	"385"
"17"	"155"	"265"	"381"
"18"	"160"	"259"	"377"
"19"	"158"	"260"	"379"
"20"	"158"	"260"	"385"
"21"	"156"	"266"	"378"
"22"	"157"	"262"	"379"
"23"	"148"	"266"	"390"
"24"	"158"	"259"	"372"
"25"	"162"	"262"	"386"
"26"	"160"	"259"	"375"
"27"	"165"	"263"	"378"
"28"	"164"	"265"	"376"
"29"	"157"	"261"	"388"
"30"	"154"	"260"	"382"
"31"	"159"	"260"	"386"
"32"	"153"	"261"	"379"
"33"	"161"	"264"	"379"
"34"	"158"	"264"	"374"
"35"	"157"	"264"	"378"
"36"	"159"	"261"	"377"
"37"	"154"	"262"	"382"
"38"	"162"	"262"	"384"
"39"	"151"	"261"	"374"
"40"	"161"	"258"	"370"
"41"	"163"	"261"	"378"
"42"	"152"	"260"	"378"
"43"	"158"	"263"	"381"
"44"	"165"	"261"	"380"
"45"	"157"	"261"	"378"
"46"	"156"	"263"	"369"
"47"	"160"	"262"	"401"
"48"	"150"	"262"	"381"
"49"	"154"	"258"	"382"
"50"	"158"	"263"	"387"
"51"	"159"	"264"	"403"
"52"	"155"	"264"	"383"
"53"	"155"	"259"	"373"
"54"	"160"	"261"	"376"
"55"	"151"	"263"	"390"
"56"	"166"	"265"	"380"
"57"	"153"	"262"	"389"
"58"	"157"	"263"	"388"
"59"	"152"	"263"	"393"
"60"	"159"	"258"	"374"
"61"	"161"	"259"	"371"
"62"	"154"	"262"	"387"
"63"	"154"	"263"	"373"
"64"	"163"	"262"	"382"
"65"	"159"	"261"	"387"
"66"	"154"	"263"	"380"
"67"	"158"	"265"	"396"
"68"	"161"	"262"	"384"
"69"	"160"	"261"	"386"
"70"	"160"	"260"	"371"
"71"	"161"	"261"	"380"
"72"	"154"	"260"	"371"
"73"	"153"	"260"	"375"
"74"	"155"	"260"	"383"
"75"	"159"	"262"	"374"
"76"	"167"	"262"	"385"
"77"	"152"	"261"	"391"
"78"	"160"	"261"	"379"
"79"	"156"	"261"	"386"
"80"	"154"	"262"	"374"
"81"	"156"	"263"	"369"
"82"	"158"	"260"	"388"
"83"	"150"	"260"	"381"
"84"	"163"	"263"	"383"
"85"	"162"	"260"	"381"
"86"	"160"	"259"	"374"
"87"	"172"	"263"	"381"
"88"	"156"	"262"	"392"
"89"	"153"	"262"	"386"
"90"	"162"	"262"	"384"
"91"	"157"	"261"	"380"
"92"	"155"	"262"	"385"
"93"	"156"	"262"	"380"
"94"	"151"	"260"	"387"
"95"	"162"	"262"	"379"
"96"	"158"	"260"	"382"
"97"	"158"	"258"	"380"
"98"	"158"	"261"	"378"
"99"	"162"	"261"	"378"
